Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-01-04,The Eyes of My Mother,2016,https://boxd.it/3DAn93,4,,,2023-01-01
2023-01-04,Shaun the Sheep Movie,2015,https://boxd.it/3DACdp,5,,,2023-01-01
2023-01-04,Dances with Wolves,1990,https://boxd.it/3DQ5Bb,2,,,2023-01-02
2023-01-05,A Shaun the Sheep Movie: Farmageddon,2019,https://boxd.it/3E0iZZ,5,,,2023-01-03
2023-01-05,Umma,2022,https://boxd.it/3EbVsn,2,,,2023-01-04
2023-01-05,Emily the Criminal,2022,https://boxd.it/3Ec0kN,2.5,,,2023-01-04
2023-01-05,Brokeback Mountain,2005,https://boxd.it/3Ec4FZ,2.5,,,2023-01-04
2023-01-06,Babylon,2022,https://boxd.it/3EyRXH,4,,,2023-01-05
2023-01-07,Avatar: The Way of Water,2022,https://boxd.it/3EY5Yf,3,,,2023-01-06
2023-01-08,M3GAN,2022,https://boxd.it/3Fqntl,4,,,2023-01-07
2023-01-08,Predator,1987,https://boxd.it/3FqwfR,1.5,,,2023-01-07
2023-01-09,The Whale,2022,https://boxd.it/3FITdF,3.5,,,2023-01-08
2023-01-10,Strange World,2022,https://boxd.it/3GeEpb,2.5,,,2023-01-09
2023-01-11,The Wailing,2016,https://boxd.it/3GyM2T,2,,,2023-01-10
2023-01-14,Do Revenge,2022,https://boxd.it/3HjI75,3.5,,,2023-01-13
2023-01-14,Maniac,1980,https://boxd.it/3HwnlL,1.5,,,2023-01-13
2023-01-15,Prometheus,2012,https://boxd.it/3HSVtX,2,,,2023-01-14
2023-01-16,Aftersun,2022,https://boxd.it/3Ih3pH,2.5,,,2023-01-15
2023-01-18,The Slumber Party Massacre,1982,https://boxd.it/3IWoNx,1.5,,,2023-01-16
2023-01-18,Nope,2022,https://boxd.it/3IUtbz,5,Yes,,2023-01-17
2023-01-19,Gerald's Game,2017,https://boxd.it/3Je7zp,2,,,2023-01-18
2023-01-21,Perfect Blue,1997,https://boxd.it/3JOXKh,2,,,2023-01-20
2023-01-22,TÁR,2022,https://boxd.it/3K1hSz,3,,,2023-01-21
2023-01-22,All Quiet on the Western Front,2022,https://boxd.it/3K85Hj,3.5,,,2023-01-21
2023-01-23,A Man Called Otto,2022,https://boxd.it/3Kn9mT,3,,,2023-01-22
2023-01-24,Videodrome,1983,https://boxd.it/3KE2av,3,,,2023-01-22
2023-01-25,Scanners,1981,https://boxd.it/3L4wjz,2,Yes,,2023-01-23
2023-01-25,Candyman,1992,https://boxd.it/3L4xzN,5,Yes,,2023-01-24
2023-01-27,Dead Ringers,1988,https://boxd.it/3LxOTj,2,,,2023-01-25
2023-01-28,Possessor,2020,https://boxd.it/3M0tlt,2.5,,,2023-01-27
2023-01-29,Infinity Pool,2023,https://boxd.it/3MftVV,3,,,2023-01-28
2023-01-29,Antiviral,2012,https://boxd.it/3Morqz,3,,,2023-01-28
2023-01-31,Unforgiven,1992,https://boxd.it/3MYfIN,1,,,2023-01-30
2023-02-01,Splice,2009,https://boxd.it/3NkY4n,2,,,2023-01-31
2023-02-02,Day of the Animals,1977,https://boxd.it/3NAOxr,2.5,,,2023-01-31
2023-02-02,City of the Living Dead,1980,https://boxd.it/3NB3CL,4,,,2023-02-01
2023-02-05,Knock at the Cabin,2023,https://boxd.it/3OmdA5,2.5,,,2023-02-04
2023-02-05,Blonde,2022,https://boxd.it/3Owguf,2.5,,,2023-02-04
2023-02-07,Possession,1981,https://boxd.it/3P5YIb,2,,,2023-02-05
2023-02-08,The Others,2001,https://boxd.it/3PrgXP,2,Yes,,2023-02-07
2023-02-09,The Dead Zone,1983,https://boxd.it/3PyhvL,1.5,,,2023-02-07
2023-02-11,The Changeling,1980,https://boxd.it/3QbsVX,4,,,2023-02-10
2023-02-12,Martyrs,2008,https://boxd.it/3Qu7cP,0.5,,,2023-02-11
2023-02-15,Pontypool,2008,https://boxd.it/3R9TDL,1.5,,,2023-02-13
2023-02-15,The Bad Seed,1956,https://boxd.it/3Rgqqx,3,,,2023-02-14
2023-02-15,My Bloody Valentine,1981,https://boxd.it/3Rh4iD,5,Yes,,2023-02-14
2023-02-19,Day of the Dead,1985,https://boxd.it/3SomLV,1.5,,,2023-02-18
2023-02-20,Marlowe,2022,https://boxd.it/3SJ9xX,1.5,,,2023-02-19
2023-02-20,The Brood,1979,https://boxd.it/3SLFw7,4,,,2023-02-19
2023-02-21,Shivers,1975,https://boxd.it/3T2zhf,2,,,2023-02-20
2023-02-21,The Gate,1987,https://boxd.it/3T3fqD,1.5,,,2023-02-20
2023-02-23,Phantasm,1979,https://boxd.it/3TpxgZ,1,,,2023-02-21
2023-02-23,Titanic,1997,https://boxd.it/3Tv6AZ,5,Yes,,2023-02-22
2023-02-23,Funny Games,1997,https://boxd.it/3TAhw5,1.5,,,2023-02-22
2023-02-24,Killer Klowns from Outer Space,1988,https://boxd.it/3TQ70F,5,,,2023-02-23
2023-02-25,Dawn of the Dead,1978,https://boxd.it/3U79rR,2,,,2023-02-24
2023-02-26,Cocaine Bear,2023,https://boxd.it/3Ui6mr,3,,,2023-02-25
2023-02-27,Shaun of the Dead,2004,https://boxd.it/3UAskt,2,,,2023-02-25
2023-02-27,Audition,1999,https://boxd.it/3UMHPb,1.5,,,2023-02-26
2023-03-01,Skinamarink,2022,https://boxd.it/3ViLip,1,,,2023-02-28
2023-03-02,[REC],2007,https://boxd.it/3VxOA7,1,,,2023-03-01
2023-03-03,Let the Right One In,2008,https://boxd.it/3VMpyZ,2,,,2023-03-02
2023-03-04,The Eternal Daughter,2022,https://boxd.it/3W1WpB,3,,,2023-03-03
2023-03-05,A Girl Walks Home Alone at Night,2014,https://boxd.it/3WlU7l,3,,,2023-03-04
2023-03-06,The Hunger,1983,https://boxd.it/3WGmxh,2,,,2023-03-05
2023-03-08,Scream 3,2000,https://boxd.it/3Xc8aR,2,,,2023-03-07
2023-03-08,Ganja & Hess,1973,https://boxd.it/3Xcbgt,3,,,2023-03-07
2023-03-10,Scream VI,2023,https://boxd.it/3XG8q1,3.5,,spoiler,2023-03-09
2023-03-12,Scream 4,2011,https://boxd.it/3YiYvt,,,,2023-03-10
2023-03-12,Cannibal Holocaust,1980,https://boxd.it/3YiUC1,2,,,2023-03-11
2023-03-14,Wrong Turn,2003,https://boxd.it/3YTmsl,1,,,2023-03-13
2023-03-15,Ju-on: The Grudge,2002,https://boxd.it/3Z9NZt,3,,,2023-03-14
2023-03-16,Citadel,2012,https://boxd.it/3Zp3rx,1.5,,,2023-03-15
2023-03-17,Prom Night,1980,https://boxd.it/3ZDxvx,2.5,,,2023-03-16
2023-03-18,Carrie,1976,https://boxd.it/3ZSbP1,5,,,2023-03-17
2023-03-21,Unbreakable,2000,https://boxd.it/40GRQb,3,,,2023-03-19
2023-03-21,A Clockwork Orange,1971,https://boxd.it/40N1fh,3.5,,,2023-03-20
2023-03-21,Eraserhead,1977,https://boxd.it/40N1OV,5,,,2023-03-20
2023-03-22,Us,2019,https://boxd.it/411PR9,5,Yes,,2023-03-21
2023-03-24,Suspiria,1977,https://boxd.it/41wKvp,3,,,2023-03-21
2023-03-24,American Mary,2012,https://boxd.it/41wMcz,4,,,2023-03-22
2023-03-24,I Like Movies,2022,https://boxd.it/41wuhL,5,,,2023-03-23
2023-03-25,A Tale of Two Sisters,2003,https://boxd.it/41JYdb,3,,,2023-03-24
2023-03-27,Signs,2002,https://boxd.it/42g6Dv,3,,,2023-03-25
2023-03-27,Valentine,2001,https://boxd.it/42mxyT,3.5,,,2023-03-26
2023-03-28,Happy Death Day,2017,https://boxd.it/42DoD5,3,,,2023-03-27
2023-03-29,Pulse,2001,https://boxd.it/42RIz1,4,,,2023-03-28
2023-03-31,Dark Water,2002,https://boxd.it/43ktZ7,3.5,,,2023-03-30
2023-04-01,April Fool's Day,1986,https://boxd.it/43Cktx,2.5,,,2023-03-31
2023-04-02,Enys Men,2022,https://boxd.it/43Q9QD,1.5,,,2023-04-01
2023-04-02,The Village,2004,https://boxd.it/43VnEr,2.5,,,2023-04-01
2023-04-04,The House on Sorority Row,1983,https://boxd.it/44uu3n,3.5,,,2023-04-02
2023-04-04,The Prowler,1981,https://boxd.it/44B3jn,2,,,2023-04-03
2023-04-05,Enemy,2013,https://boxd.it/44Jtlb,4,,,2023-04-04
2023-04-05,Nightcrawler,2014,https://boxd.it/44KqSN,3.5,,,2023-04-04
2023-04-07,I Know What You Did Last Summer,1997,https://boxd.it/45jmnL,2.5,,,2023-04-06
2023-04-08,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/45vjtb,3.5,,,2023-04-07
2023-04-08,The Relic,1997,https://boxd.it/45B629,1.5,,,2023-04-07
2023-04-09,Dracula,1931,https://boxd.it/45UZKt,3.5,,,2023-04-08
2023-04-10,Bela Lugosi: The Fallen Vampire,2007,https://boxd.it/463Uq7,2,,,2023-04-08
2023-04-10,Donnie Darko,2001,https://boxd.it/46h4BZ,5,Yes,,2023-04-09
2023-04-11,For Better or for Worse,1993,https://boxd.it/46tHir,3.5,,,2023-04-10
2023-04-11,Good Will Hunting,1997,https://boxd.it/46BI3X,5,Yes,,2023-04-10
2023-04-15,Mulholland Drive,2001,https://boxd.it/47rC0x,1.5,,,2023-04-13
2023-04-16,Army of Darkness,1992,https://boxd.it/47T7H7,2,,,2023-04-15
2023-04-17,Renfield,2023,https://boxd.it/484WBh,2,,,2023-04-16
2023-04-17,Evil Dead,2013,https://boxd.it/48dgHl,2,,,2023-04-16
2023-04-18,Hostel,2005,https://boxd.it/48smkd,2,,,2023-04-17
2023-04-19,The Pope's Exorcist,2023,https://boxd.it/48CALR,2.5,,,2023-04-18
2023-05-04,Dracula,1958,https://boxd.it/4cG5g3,1.5,,,2023-04-19
2023-04-21,Evil Dead Rise,2023,https://boxd.it/498mID,4,,,2023-04-20
2023-04-23,WolfCop,2014,https://boxd.it/49Jn8b,4,,,2023-04-21
2023-04-23,The Mafu Cage,1978,https://boxd.it/49JnTB,3.5,,,2023-04-22
2023-04-24,Eastern Promises,2007,https://boxd.it/49PDwZ,2.5,,,2023-04-22
2023-04-24,Beau Is Afraid,2023,https://boxd.it/49UTpP,2,,,2023-04-23
2023-04-24,The Wicker Man,1973,https://boxd.it/4a37mh,3.5,,,2023-04-23
2023-04-25,Ferris Bueller's Day Off,1986,https://boxd.it/4aiL0P,5,Yes,,2023-04-24
